temp,pressure,vibration,voltage
32.0,102.1,0.017,216.0
30.7,101.4,0.019,218.0
32.3,100.1,0.016,219.0
34.0,99.0,0.018,224.0
30.5,101.0,0.011,221.0
30.5,100.6,0.021,217.0
34.2,101.3,0.02,221.0
32.5,101.0,0.016,217.0
30.1,101.6,0.023,222.0
32.1,99.2,0.025,219.0
30.1,102.0,0.012,220.0
30.1,100.3,0.016,223.0
31.5,103.1,0.016,217.0
27.2,99.0,0.015,217.0
27.6,102.6,0.024,219.0
29.9,100.3,0.019,222.0
29.0,99.0,0.019,217.0
31.6,99.3,0.01,214.0
29.2,99.5,0.023,219.0
28.2,100.6,0.014,221.0
33.9,100.8,0.02,222.0
30.5,99.1,0.021,219.0
31.1,100.0,0.027,219.0
28.2,103.2,0.013,222.0
29.9,102.6,0.005,216.0
31.2,100.7,0.021,219.0
28.7,100.1,0.029,220.0
31.8,100.2,0.026,221.0
29.8,100.9,0.021,219.0
30.4,98.5,0.018,220.0
29.8,99.6,0.024,215.0
34.7,97.5,0.015,219.0
31.0,100.6,0.022,221.0
28.9,101.0,0.023,218.0
32.6,99.3,0.025,220.0
28.6,102.4,0.034,221.0
31.4,98.2,0.022,219.0
27.1,97.8,0.017,220.0
28.3,100.3,0.02,218.0
31.4,101.6,0.011,220.0
32.5,102.5,0.017,221.0
31.3,99.3,0.018,220.0
30.8,101.6,0.017,219.0
30.4,99.9,0.021,220.0
28.0,99.7,0.016,221.0
29.6,101.3,0.026,216.0
30.1,101.0,0.02,222.0
33.1,97.6,0.02,219.0
31.7,102.2,0.018,221.0
27.5,102.1,0.021,222.0
31.6,99.1,0.024,217.0
30.2,100.6,0.016,219.0
29.6,100.7,0.017,219.0
32.2,100.4,0.018,218.0
33.1,99.2,0.013,223.0
32.9,99.0,0.016,218.0
29.3,100.0,0.018,219.0
30.4,101.8,0.024,220.0
31.7,100.8,0.021,218.0
33.0,99.4,0.021,219.0
30.0,101.2,0.024,221.0
30.6,95.7,0.019,219.0
28.8,101.7,0.022,220.0
28.6,97.4,0.019,219.0
32.6,99.5,0.021,217.0
33.7,98.3,0.017,221.0
30.9,98.1,0.008,224.0
33.0,101.7,0.019,220.0
31.7,99.3,0.027,220.0
29.7,100.5,0.025,221.0
31.7,99.9,0.025,217.0
34.1,100.7,0.026,223.0
30.9,100.1,0.02,220.0
34.1,98.1,0.021,223.0
25.8,101.5,0.017,219.0
32.6,99.3,0.018,224.0
31.2,97.7,0.023,222.0
30.4,99.4,0.026,221.0
31.2,102.3,0.019,220.0
27.0,101.3,0.018,220.0
30.6,99.5,0.02,222.0
31.7,99.5,0.023,220.0
34.0,99.5,0.013,216.0
30.0,103.1,0.009,218.0
29.4,100.6,0.017,220.0
30.0,100.6,0.014,221.0
32.8,101.5,0.017,220.0
31.7,100.4,0.019,222.0
29.9,99.6,0.018,216.0
32.0,99.7,0.027,220.0
31.2,99.9,0.022,216.0
32.9,99.9,0.022,222.0
29.6,101.1,0.023,220.0
30.3,100.1,0.014,221.0
30.2,101.1,0.025,218.0
28.1,99.9,0.02,223.0
31.6,100.1,0.023,222.0
31.5,97.0,0.015,221.0
31.0,101.4,0.012,220.0
30.5,100.5,0.024,221.0
28.2,101.5,0.022,219.0
30.2,95.7,0.015,222.0
30.3,103.1,0.016,223.0
29.4,99.8,0.026,222.0
30.7,101.7,0.014,219.0
31.8,98.4,0.028,221.0
34.8,100.9,0.015,217.0
31.3,98.4,0.023,221.0
31.5,99.1,0.018,221.0
30.9,102.9,0.023,216.0
27.2,99.7,0.017,218.0
30.9,100.3,0.019,219.0
31.1,101.3,0.02,219.0
35.9,100.7,0.015,218.0
30.6,100.2,0.024,221.0
31.6,100.5,0.017,221.0
30.9,103.6,0.019,220.0
28.7,99.9,0.015,218.0
33.3,100.3,0.007,222.0
32.5,101.6,0.019,223.0
32.6,101.7,0.032,219.0
29.2,101.8,0.024,219.0
33.8,101.0,0.02,221.0
28.2,98.3,0.019,219.0
32.2,102.5,0.02,220.0
35.4,98.3,0.023,221.0
29.0,100.5,0.014,216.0
29.9,98.9,0.026,223.0
31.2,99.9,0.024,220.0
30.0,100.5,0.024,219.0
27.9,100.5,0.022,220.0
